group,run,tick,day,datetime,new_cases,cumulative_cases,new_cases_age,cumulative_cases_age,n_inf_age_0_29,n_inf_age_30_59,n_inf_age_60,scale_to_population,scale_to_100k,cumulative_cases/100k,adj_cumulative_cases/100k,date,empirical_cumulative_cases,empirical_cumulative_cases/100k
9,41,17,1,2020-03-24,32,82,1567,4023,17,39,26,131.17089,1.0,82.0,84.09997431594769,2020-03-24,8052,61.38557114310957
9,42,17,1,2020-03-24,30,80,1453,3763,22,27,31,131.17089,1.0,80.0,82.09997431594769,2020-03-24,8052,61.38557114310957
9,43,17,1,2020-03-24,32,82,1539,3763,19,40,23,131.16957830421697,0.999990000099999,81.99918000819993,84.09965431914767,2020-03-24,8052,61.38557114310957
9,44,17,1,2020-03-24,26,76,1012,3384,21,31,24,131.17089,1.0,76.0,78.09997431594769,2020-03-24,8052,61.38557114310957
9,45,17,1,2020-03-24,36,86,1679,4066,24,33,29,131.16957830421697,0.999990000099999,85.99914000859992,88.09961431954767,2020-03-24,8052,61.38557114310957
9,46,17,1,2020-03-24,28,78,1230,3509,24,30,24,131.1682666346673,0.999980000399992,77.99844003119938,80.09941432714747,2020-03-24,8052,61.38557114310957
9,47,17,1,2020-03-24,33,83,1559,3826,22,29,32,131.16695499135025,0.999970000899973,82.99751007469776,85.0989843456468,2020-03-24,8052,61.38557114310957
9,48,17,1,2020-03-24,31,81,1671,4239,15,31,35,131.17089,1.0,81.0,83.09997431594769,2020-03-24,8052,61.38557114310957
9,49,17,1,2020-03-24,30,80,1513,3940,18,30,32,131.1682666346673,0.999980000399992,79.99840003199937,82.09937432794746,2020-03-24,8052,61.38557114310957
9,50,17,1,2020-03-24,34,84,1560,4013,23,27,34,131.17089,1.0,84.0,86.09997431594769,2020-03-24,8052,61.38557114310957
9,51,17,1,2020-03-24,31,81,1448,3938,19,37,25,131.1682666346673,0.999980000399992,80.99838003239935,83.09935432834745,2020-03-24,8052,61.38557114310957
9,52,17,1,2020-03-24,22,72,947,3268,19,28,25,131.17089,1.0,72.0,74.09997431594769,2020-03-24,8052,61.38557114310957
9,53,17,1,2020-03-24,33,83,1526,3819,21,30,32,131.17089,1.0,83.0,85.09997431594769,2020-03-24,8052,61.38557114310957
9,54,17,1,2020-03-24,33,83,1445,3567,24,39,20,131.16957830421697,0.999990000099999,82.99917000829993,85.09964431924766,2020-03-24,8052,61.38557114310957
9,55,17,1,2020-03-24,34,84,1692,4300,9,48,27,131.16957830421697,0.999990000099999,83.99916000839993,86.09963431934767,2020-03-24,8052,61.38557114310957
9,56,17,1,2020-03-24,27,77,1153,3313,25,33,19,131.1682666346673,0.999980000399992,76.99846003079938,79.09943432674747,2020-03-24,8052,61.38557114310957
9,57,17,1,2020-03-24,30,80,1380,3691,18,43,19,131.17089,1.0,80.0,82.09997431594769,2020-03-24,8052,61.38557114310957
9,58,17,1,2020-03-24,25,75,1061,3151,20,35,20,131.17089,1.0,75.0,77.09997431594769,2020-03-24,8052,61.38557114310957
9,59,17,1,2020-03-24,25,75,1300,3695,15,31,29,131.16957830421697,0.999990000099999,74.99925000749992,77.09972431844767,2020-03-24,8052,61.38557114310957
9,0,35,2,2020-03-25,9,96,364,4217,33,34,29,131.17089,1.0,96.0,98.09997431594769,2020-03-25,9733,74.2009145474274
9,1,35,2,2020-03-25,13,96,554,4505,24,33,39,131.17089,1.0,96.0,98.09997431594769,2020-03-25,9733,74.2009145474274
9,2,35,2,2020-03-25,13,91,542,4475,19,43,29,131.16564337426502,0.999960001599936,90.99636014559418,93.09833438154507,2020-03-25,9733,74.2009145474274
9,3,35,2,2020-03-25,12,88,532,4114,18,42,28,131.16695499135025,0.999970000899973,87.99736007919762,90.09883435014666,2020-03-25,9733,74.2009145474274
9,4,35,2,2020-03-25,10,92,538,4353,26,31,35,131.1682666346673,0.999980000399992,91.99816003679926,94.09913433274735,2020-03-25,9733,74.2009145474274
9,5,35,2,2020-03-25,16,95,815,4132,33,38,24,131.17089,1.0,95.0,97.09997431594769,2020-03-25,9733,74.2009145474274
9,6,35,2,2020-03-25,16,98,597,4524,32,35,31,131.1682666346673,0.999980000399992,97.99804003919922,100.09901433514732,2020-03-25,9733,74.2009145474274
9,7,35,2,2020-03-25,12,96,573,4367,26,47,23,131.16957830421697,0.999990000099999,95.99904000959991,98.09951432054766,2020-03-25,9733,74.2009145474274
9,8,35,2,2020-03-25,17,97,759,4993,22,29,46,131.17089,1.0,97.0,99.09997431594769,2020-03-25,9733,74.2009145474274
9,9,35,2,2020-03-25,16,95,837,4913,9,55,31,131.17089,1.0,95.0,97.09997431594769,2020-03-25,9733,74.2009145474274
9,10,35,2,2020-03-25,9,92,377,4172,26,43,23,131.16957830421697,0.999990000099999,91.99908000919991,94.09955432014766,2020-03-25,9733,74.2009145474274
9,11,35,2,2020-03-25,11,90,403,4003,28,36,26,131.17089,1.0,90.0,92.09997431594769,2020-03-25,9733,74.2009145474274
9,12,35,2,2020-03-25,8,88,506,4373,19,37,32,131.16957830421697,0.999990000099999,87.99912000879992,90.09959431974767,2020-03-25,9733,74.2009145474274
9,13,35,2,2020-03-25,10,91,397,4235,26,30,35,131.16957830421697,0.999990000099999,90.99909000909992,93.09956432004765,2020-03-25,9733,74.2009145474274
9,14,35,2,2020-03-25,12,94,562,4670,19,39,36,131.17089,1.0,94.0,96.09997431594769,2020-03-25,9733,74.2009145474274
9,15,35,2,2020-03-25,14,94,754,4321,20,54,20,131.16170868039237,0.999930004899657,93.99342046056776,96.0968945315326,2020-03-25,9733,74.2009145474274
9,16,35,2,2020-03-25,12,96,560,4472,22,45,29,131.16957830421697,0.999990000099999,95.99904000959991,98.09951432054766,2020-03-25,9733,74.2009145474274
9,17,35,2,2020-03-25,20,95,989,4599,19,40,36,131.17089,1.0,95.0,97.09997431594769,2020-03-25,9733,74.2009145474274
9,18,35,2,2020-03-25,13,92,640,4379,17,48,27,131.16564337426502,0.999960001599936,91.99632014719411,94.098294383145,2020-03-25,9733,74.2009145474274
9,19,35,2,2020-03-25,14,93,583,4139,28,43,22,131.16957830421697,0.999990000099999,92.99907000929991,95.09954432024765,2020-03-25,9733,74.2009145474274
9,20,35,2,2020-03-25,18,95,848,4449,22,41,32,131.16957830421697,0.999990000099999,94.99905000949991,97.09952432044764,2020-03-25,9733,74.2009145474274
9,21,35,2,2020-03-25,15,94,720,4244,25,40,29,131.1682666346673,0.999980000399992,93.99812003759925,96.09909433354734,2020-03-25,9733,74.2009145474274
9,22,35,2,2020-03-25,15,91,738,4217,25,36,30,131.17089,1.0,91.0,93.09997431594769,2020-03-25,9733,74.2009145474274
9,23,35,2,2020-03-25,11,96,497,4702,22,35,39,131.17089,1.0,96.0,98.09997431594769,2020-03-25,9733,74.2009145474274
9,24,35,2,2020-03-25,10,91,514,4113,25,40,26,131.17089,1.0,91.0,93.09997431594769,2020-03-25,9733,74.2009145474274
9,25,35,2,2020-03-25,14,94,666,4311,23,34,37,131.1682666346673,0.999980000399992,93.99812003759925,96.09909433354734,2020-03-25,9733,74.2009145474274
9,26,35,2,2020-03-25,16,94,854,4718,24,26,44,131.16957830421697,0.999990000099999,93.99906000939991,96.09953432034766,2020-03-25,9733,74.2009145474274
9,27,35,2,2020-03-25,12,93,634,4659,20,30,43,131.17089,1.0,93.0,95.09997431594769,2020-03-25,9733,74.2009145474274
9,28,35,2,2020-03-25,15,95,624,4472,24,36,35,131.17089,1.0,95.0,97.09997431594769,2020-03-25,9733,74.2009145474274
9,29,35,2,2020-03-25,12,92,636,4374,23,37,32,131.17089,1.0,92.0,94.09997431594769,2020-03-25,9733,74.2009145474274
9,30,35,2,2020-03-25,10,92,389,3959,31,36,25,131.1682666346673,0.999980000399992,91.99816003679926,94.09913433274735,2020-03-25,9733,74.2009145474274
9,31,35,2,2020-03-25,22,94,1012,4596,22,36,36,131.1682666346673,0.999980000399992,93.99812003759925,96.09909433354734,2020-03-25,9733,74.2009145474274
9,32,35,2,2020-03-25,13,96,699,4701,24,36,36,131.17089,1.0,96.0,98.09997431594769,2020-03-25,9733,74.2009145474274
9,33,35,2,2020-03-25,14,94,571,4325,31,28,35,131.17089,1.0,94.0,96.09997431594769,2020-03-25,9733,74.2009145474274
9,34,35,2,2020-03-25,16,94,745,4579,15,44,35,131.17089,1.0,94.0,96.09997431594769,2020-03-25,9733,74.2009145474274
9,35,35,2,2020-03-25,17,92,739,4258,21,43,28,131.1682666346673,0.999980000399992,91.99816003679926,94.09913433274735,2020-03-25,9733,74.2009145474274
9,36,35,2,2020-03-25,10,92,471,3991,25,48,19,131.16957830421697,0.999990000099999,91.99908000919991,94.09955432014766,2020-03-25,9733,74.2009145474274
9,37,35,2,2020-03-25,15,98,731,4506,22,45,31,131.17089,1.0,98.0,100.09997431594769,2020-03-25,9733,74.2009145474274
9,38,35,2,2020-03-25,13,96,679,5002,11,48,37,131.17089,1.0,96.0,98.09997431594769,2020-03-25,9733,74.2009145474274
9,39,35,2,2020-03-25,11,91,457,3784,35,36,20,131.17089,1.0,91.0,93.09997431594769,2020-03-25,9733,74.2009145474274
9,40,35,2,2020-03-25,15,91,633,4043,24,49,18,131.17089,1.0,91.0,93.09997431594769,2020-03-25,9733,74.2009145474274
9,41,35,2,2020-03-25,14,96,636,4659,20,46,30,131.17089,1.0,96.0,98.09997431594769,2020-03-25,9733,74.2009145474274
9,42,35,2,2020-03-25,17,97,784,4547,26,33,38,131.17089,1.0,97.0,99.09997431594769,2020-03-25,9733,74.2009145474274
9,43,35,2,2020-03-25,11,93,422,4185,24,44,25,131.16957830421697,0.999990000099999,92.99907000929991,95.09954432024765,2020-03-25,9733,74.2009145474274
9,44,35,2,2020-03-25,16,92,991,4375,21,38,33,131.17089,1.0,92.0,94.09997431594769,2020-03-25,9733,74.2009145474274
9,45,35,2,2020-03-25,7,93,299,4365,26,37,30,131.16957830421697,0.999990000099999,92.99907000929991,95.09954432024765,2020-03-25,9733,74.2009145474274
9,46,35,2,2020-03-25,14,92,674,4183,26,39,27,131.1682666346673,0.999980000399992,91.99816003679926,94.09913433274735,2020-03-25,9733,74.2009145474274
9,47,35,2,2020-03-25,14,97,614,4440,25,36,36,131.16695499135025,0.999970000899973,96.99709008729738,99.09856435824642,2020-03-25,9733,74.2009145474274
9,48,35,2,2020-03-25,12,93,549,4788,17,38,38,131.17089,1.0,93.0,95.09997431594769,2020-03-25,9733,74.2009145474274
9,49,35,2,2020-03-25,17,97,804,4744,23,36,38,131.1682666346673,0.999980000399992,96.99806003879922,99.09903433474732,2020-03-25,9733,74.2009145474274
9,50,35,2,2020-03-25,11,95,612,4625,25,30,40,131.17089,1.0,95.0,97.09997431594769,2020-03-25,9733,74.2009145474274
9,51,35,2,2020-03-25,10,91,537,4475,21,40,30,131.1682666346673,0.999980000399992,90.99818003639928,93.09915433234737,2020-03-25,9733,74.2009145474274
9,52,35,2,2020-03-25,19,91,864,4132,24,37,30,131.17089,1.0,91.0,93.09997431594769,2020-03-25,9733,74.2009145474274
9,53,35,2,2020-03-25,10,93,500,4319,23,33,37,131.17089,1.0,93.0,95.09997431594769,2020-03-25,9733,74.2009145474274
9,54,35,2,2020-03-25,11,94,346,3913,29,43,22,131.16957830421697,0.999990000099999,93.99906000939991,96.09953432034766,2020-03-25,9733,74.2009145474274
9,55,35,2,2020-03-25,10,94,605,4905,9,52,33,131.16957830421697,0.999990000099999,93.99906000939991,96.09953432034766,2020-03-25,9733,74.2009145474274
9,56,35,2,2020-03-25,15,92,681,3994,28,42,22,131.1682666346673,0.999980000399992,91.99816003679926,94.09913433274735,2020-03-25,9733,74.2009145474274
9,57,35,2,2020-03-25,15,95,598,4289,22,52,21,131.17089,1.0,95.0,97.09997431594769,2020-03-25,9733,74.2009145474274
